tool,capability,line,column,message,verdict
scorecard,automatic-hardening-check,N/A,N/A,no SAST tool detected,TP
scorecard,permissions-check,N/A,N/A,detected GitHub workflow tokens with excessive permissions,FP
zizmor,permissions-check,1,1,overly broad permissions,FP
zizmor,permissions-check,13,3,overly broad permissions,FP
zizmor,permissions-check,25,3,overly broad permissions,FP
zizmor,permissions-check,37,3,overly broad permissions,FP
zizmor,permissions-check,3,1,overly broad permissions,FP
zizmor,secrets-check,15,5,secrets unconditionally inherited by called workflow,TP
zizmor,secrets-check,27,5,secrets unconditionally inherited by called workflow,TP
zizmor,secrets-check,39,5,secrets unconditionally inherited by called workflow,TP
zizmor,secrets-check,51,5,secrets unconditionally inherited by called workflow,TP
